sample,chr13_ref100,chr13_ref200,chr13_ref500,chr13_ref1000,chr18_ref100,chr18_ref200,chr18_ref500,chr18_ref1000,chr21_ref100,chr21_ref200,chr21_ref500,chr21_ref1000
22PC0797_001,-0.0952878094881915,0.317875539780413,0.731038889049017,0.524457214414715,-0.0215465481448649,0.301105154176399,0.623756856497663,0.462431005337031,25.3299196578544,24.6183669140475,23.9068141702405,24.262590542144
22PC0941_003,-1.25214466132857,-1.53154731917416,-1.81094997701975,-1.67124864809696,-3.40367736018666,-2.65552358910484,-1.90736981802301,-2.28144670356392,19.7407582199167,18.6108970204417,17.4810358209668,18.0459664207043
22PC1260_004,0.496397647216122,0.688691702242297,0.880985757268472,0.784838729755385,1.81257656966881,1.89489287632849,1.97720918298817,1.93605102965833,15.3205807975225,14.6410637987543,13.9615467999861,14.3013052993702
22PC1673_006,0.411638433926148,0.276228892956291,0.140819351986434,0.208524122471363,0.39591596788381,0.985281041141885,1.57464611439996,1.27996357777092,13.2787287388533,12.2348495444345,11.1909703500156,11.712909947225
23PC0429_007,8.48719687153814,7.4038399058748,6.32048294021146,6.86216142304313,1.3654313216935,1.23783873276895,1.1102461438444,1.17404243830667,-0.676108142824302,-0.908523210639142,-1.14093827845398,-1.02473074454656
23PC0432_021,0.738704948193987,0.174088577037799,-0.390527794118389,-0.108219608540295,-14.7865624571417,-13.865697915079,-12.9448333730164,-13.4052656440477,-1.20051225950081,-0.651356951049246,-0.102201642597686,-0.376779296823466
23PC0524_008,-0.823550584171845,-1.48467792187658,-2.14580525958132,-1.81524159072895,29.5361794525721,28.2713420676282,27.0065046826843,27.6389233751563,0.00246028867323297,0.0872431799965858,0.172026071319939,0.129634625658262
23PC0927_009,2.12716641430504,1.85206398734164,1.57696156037825,1.71451277385995,21.4891670643936,20.8429071383412,20.1966472122888,20.519777175315,-0.0492733060419978,0.902029370315212,1.85333204667242,1.37768070849382
23PC1426_011,-0.713584999772284,-1.04281569639537,-1.37204639301845,-1.20743104470691,-2.17292069775087,-1.74251675476118,-1.31211281177148,-1.52731478326633,16.7593111570521,15.4411174739729,14.1229237908938,14.7820206324333
23PC2466_041,0.562863788925523,-0.972680142057507,-2.50822407304054,-1.74045210754902,-0.135565074369197,0.111665746777562,0.358896567924321,0.235281157350942,-0.932518474115096,-3.12959884034102,-5.32667920656694,-4.22813902345398
